CPU	 1	 0.033325
CPU	 3	 0.03335
CPU	 5	 0.033325
CPU	 7	 0.033325
CPU	 9	 0.03335
CPU	 11	 0.033325
CPU	 13	 0.05
CPU	 15	 0.033325
CPU	 17	 0.03335
CPU	 19	 0.033325
CPU	 21	 0.033325
CPU	 23	 0.03335
CPU	 25	 0.033325
CPU	 27	 0.033325
CPU	 29	 0.03335
CPU	 31	 0.05
CPU	 33	 0.033325
CPU	 35	 0.033325
CPU	 37	 0.03335
CPU	 39	 0.033325
CPU	 41	 0.033325
CPU	 43	 0.03335
CPU	 45	 0.01665
CPU	 47	 0.03335
CPU	 49	 0.033325
IO	 0	 437.317
IO	 2	 437.283
IO	 4	 437.25
IO	 6	 437.233
IO	 8	 437.2
IO	 10	 437.183
IO	 12	 437.15
IO	 14	 437.117
IO	 16	 437.083
IO	 18	 437.05
IO	 20	 437.033
IO	 22	 437
IO	 24	 436.967
IO	 26	 436.933
IO	 28	 436.9
IO	 30	 436.883
IO	 32	 436.833
IO	 34	 436.8
IO	 36	 436.767
IO	 38	 436.75
IO	 40	 436.717
IO	 42	 436.683
IO	 44	 436.65
IO	 46	 436.633
IO	 48	 436.6
